question_id,repeat_idx,exec_ok,err,value_match
89,0,True,,False
89,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
89,2,True,,False
89,3,False,exec_error: KeyError: 'A1',
89,4,False,exec_error: KeyError: 'A1',
90,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
90,1,True,,False
90,2,False,exec_error: KeyError: 'A1',
90,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
90,4,False,exec_error: KeyError: 'A1',
91,0,False,exec_error: KeyError: 'year',
91,1,False,exec_error: TypeError: Cannot perform reduction 'mean' with string dtype,
91,2,False,exec_error: KeyError: 'A1',
91,3,False,exec_error: KeyError: 'A2',
91,4,False,exec_error: KeyError: 'A1',
92,0,False,exec_error: KeyError: 'salary',
92,1,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
92,2,False,exec_error: KeyError: 'Column not found: salary',
92,3,False,exec_error: KeyError: 'Column not found: salary',
92,4,False,exec_error: KeyError: 'Column not found: salary',
93,0,False,exec_error: KeyError: 'A1',
93,1,False,exec_error: KeyError: 'Column not found: A1',
93,2,False,"exec_error: ValueError: Cannot convert from timedelta64[us] to timedelta64[Y]. Supported resolutions are 's', 'ms', 'us', 'ns'",
93,3,True,,False
93,4,False,exec_error: KeyError: 'A1',
94,0,False,exec_error: KeyError: 'Column not found: A1',
94,1,False,exec_error: KeyError: 'Column not found: A1',
94,2,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
94,3,False,exec_error: KeyError: 'Column not found: A1',
94,4,False,exec_error: KeyError: 'Column not found: salary',
95,0,False,exec_error: KeyError: 'client_id',
95,1,False,exec_error: KeyError: 'Column not found: salary',
95,2,False,"exec_error: ValueError: Cannot convert from timedelta64[us] to timedelta64[Y]. Supported resolutions are 's', 'ms', 'us', 'ns'",
95,3,False,"exec_error: ValueError: Cannot convert from timedelta64[us] to timedelta64[Y]. Supported resolutions are 's', 'ms', 'us', 'ns'",
95,4,False,exec_error: AttributeError: 'Series' object has no attribute 'days',
96,0,True,,False
96,1,False,exec_error: KeyError: 'type',
96,2,True,,False
96,3,True,,False
96,4,True,,False
97,0,True,,False
97,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
97,2,True,,False
97,3,True,,False
97,4,True,,False
98,0,False,"exec_error: KeyError: ""['district_id', 'frequency'] not in index""",
98,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,2,False,"exec_error: KeyError: ""['date'] not in index""",
98,3,False,"exec_error: KeyError: ""['amount_x', 'duration_x', 'payments_x', 'status_x'] not in index""",
98,4,False,"exec_error: KeyError: ""['district_id', 'frequency'] not in index""",
99,0,True,,False
99,1,True,,False
99,2,False,"exec_error: TypeError: Addition/subtraction of integers and integer-arrays with DatetimeArray is no longer supported.  Instead of adding/subtracting `n`, use `n * obj.freq`",
99,3,False,exec_error: KeyError: 'date',
99,4,False,exec_error: TypeError: Invalid comparison between dtype=timedelta64[us] and DateOffset,
100,0,True,,False
