file,phase,condition,model,question_id,repeat_idx,hop_diameter,gold_has_disp,step1_status,n_merge,exec_ok,err,value_match,label_exec,label_static,why
qwen_before_baseline,before,baseline,qwen,89,0,1,False,ok,0,False,exec_error: KeyError: 'A1',,FA,AA,exec_error
qwen_before_baseline,before,baseline,qwen,89,1,1,False,ok,3,False,exec_error: KeyError: 'card_id',,FA,FA,exec_error
qwen_before_baseline,before,baseline,qwen,89,2,1,False,ok,1,True,,False,FA,FA,semantic
qwen_before_baseline,before,baseline,qwen,89,3,1,False,ok,2,False,exec_error: ValueError: Can only compare identically-labeled Series objects,,FA,FA,exec_error
qwen_before_baseline,before,baseline,qwen,89,4,1,False,ok,0,False,exec_error: KeyError: 'account_id',,FA,AA,exec_error
qwen_before_baseline,before,baseline,qwen,90,0,2,False,ok,0,False,exec_error: KeyError: 'account_id',,FA,AA,exec_error
qwen_before_baseline,before,baseline,qwen,90,1,2,False,ok,0,True,,False,AA,AA,semantic
qwen_before_baseline,before,baseline,qwen,90,2,2,False,ok,1,False,exec_error: KeyError: 'A1',,FA,AA,exec_error
qwen_before_baseline,before,baseline,qwen,90,3,2,False,ok,0,False,"exec_error: TypeError: Boolean array expected for the condition, not int64",,FA,AA,exec_error
qwen_before_baseline,before,baseline,qwen,90,4,2,False,ok,0,True,,False,AA,AA,semantic
qwen_before_baseline,before,baseline,qwen,91,0,0,False,ok,0,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'district.csv',,FA,FA,exec_error
qwen_before_baseline,before,baseline,qwen,91,1,0,False,ok,0,False,exec_error: KeyError: 'A10',,FA,FA,exec_error
qwen_before_baseline,before,baseline,qwen,91,2,0,False,ok,0,False,exec_error: KeyError: 'A1',,FA,FA,exec_error
qwen_before_baseline,before,baseline,qwen,91,3,0,False,ok,0,False,exec_error: NameError: name 'df_1995' is not defined,,FA,FA,exec_error
